,County_Code,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_HFZ_All,fitness_pct_HFZ_Economic_disadv,fitness_pct_HFZ_NOT_economic_disadv,fitness_pct_NI_All,fitness_pct_NI_Economic_disadv,fitness_pct_NI_NOT_economic_disadv,fitness_pct_NI_HR_All,fitness_pct_NI_HR_Economic_disadv,fitness_pct_NI_HR_NOT_economic_disadv,County
28,29.0,355.391892511,300.383989501,366.090437622,0.720243450011,0.658735400445,0.716491370809,0.183223887375,0.16435442158,0.181452662722,0.083956682736,0.106832313682,0.0698814102564,Nevada
29,30.0,360.782329796,335.664576498,393.542514999,0.709144642666,0.620229776687,0.773366714208,0.171640662371,0.208039937459,0.128255250781,0.118349025452,0.166732620187,0.0698446880943,Orange
30,30.0,360.782329796,335.664576498,393.542514999,0.709144642666,0.620229776687,0.773366714208,0.171640662371,0.208039937459,0.128255250781,0.118349025452,0.166732620187,0.0698446880943,
31,31.0,376.794116765,338.318604607,380.678518397,0.755199098092,0.658269812608,0.781088586093,0.137871799054,0.168651177722,0.121367744193,0.104102225777,0.139854018699,0.0886055946809,Placer
32,32.0,369.168974359,353.270790729,377.970672098,0.662336886994,0.634562893082,0.645875251509,0.219795664534,0.231290880503,0.180249496982,0.111470859986,0.134146226415,0.0913802816901,Plumas
33,33.0,336.821472367,324.079173858,363.00747812,0.61747453818,0.57451607772,0.671485361598,0.217477240839,0.233268850816,0.19030031736,0.162003770108,0.185502079606,0.129087358722,Riverside
34,34.0,344.7210816,330.397594474,367.822446829,0.639800519527,0.58997616996,0.668846643862,0.209932620433,0.232287329462,0.165159177054,0.146234290366,0.170861910337,0.104385148855,Sacramento
35,35.0,328.810743671,309.230716902,353.491932361,0.584538159143,0.537757524613,0.647600283086,0.202481767656,0.210942897327,0.189825902335,0.1983399756,0.241172995781,0.161299929229,San Benito
36,36.0,335.665511674,320.882555716,356.905807984,0.581985769857,0.543253205698,0.666467379466,0.240146573728,0.256301638342,0.18404722579,0.17432640893,0.193137603693,0.120455147705,San Bernardino
37,37.0,354.415308294,332.329936776,373.604372349,0.704743363535,0.631719346027,0.769383154605,0.169676333407,0.199075631076,0.133625572717,0.120298544362,0.159975489676,0.0768002190152,San Diego
38,38.0,353.529105053,342.071263279,371.721245716,0.637661423263,0.601081150886,0.703228645833,0.24116378298,0.256243452658,0.189837266523,0.117562753623,0.128263495015,0.0729901221265,San Francisco
39,39.0,332.331267987,320.096638808,354.573028394,0.578503596174,0.529450117435,0.64185881193,0.243794237693,0.266126187895,0.196881411095,0.174765404403,0.19572902439,0.136601382127,San Joaquin
40,40.0,354.511656809,324.891604003,373.766757127,0.711536642092,0.614964983444,0.772656016397,0.169802220467,0.205834850993,0.140481874447,0.11128883623,0.157125110375,0.0719919218712,San Luis Obispo
41,41.0,357.49702171,324.240314148,379.596865196,0.695909436018,0.576635957842,0.768759267681,0.169919105296,0.22742401871,0.133403154457,0.131235956575,0.183812816003,0.0872400363817,San Mateo
42,42.0,335.830610997,316.756363752,364.490962483,0.662974632211,0.61414907611,0.729010567795,0.196650263919,0.211905585773,0.1638842916,0.134687101342,0.158669328396,0.0945312555973,Santa Barbara
43,43.0,364.205169962,322.024469216,391.21294032,0.728606188618,0.616758375568,0.800459746291,0.158699999285,0.202334046886,0.123597511825,0.110699558977,0.165575833314,0.0703251490606,Santa Clara
