,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
45,1.0,61143.0,122697.0,All,57.6666666667,95.3333333333,59.6333333333,18.1333333333,22.2333333333,63.6666666667,95.3333333333,66.2333333333,24.7,9.06666666667,325.133333333,63.75,108.0
46,1.0,61143.0,122697.0,Economic_disadv,46.6666666667,76.3333333333,60.2333333333,17.2,22.5666666667,50.6666666667,76.3333333333,65.6333333333,25.8,8.56666666667,323.5,47.25,81.3333333333
47,1.0,61143.0,122697.0,NOT_economic_disadv,9.66666666667,17.6666666667,51.6666666667,24.8333333333,23.5,11.6666666667,17.6666666667,65.9333333333,20.5333333333,13.5333333333,330.833333333,16.5,26.6666666667
48,1.0,61143.0,131177.0,All,91.3333333333,198.0,45.3333333333,33.4,21.2666666667,127.0,198.0,64.1666666667,19.4666666667,16.3666666667,373.933333333,445.0,1121.5
49,1.0,61143.0,131177.0,Economic_disadv,42.0,103.0,39.8,33.8,26.4,59.6666666667,103.0,57.9666666667,20.7,21.3333333333,325.066666667,166.0,381.333333333
50,1.0,61143.0,131177.0,NOT_economic_disadv,46.6666666667,89.0,50.9,32.3,16.8,62.6666666667,89.0,70.0666666667,19.4,10.5333333333,394.066666667,312.2,775.5
51,1.0,61150.0,132225.0,All,593.666666667,740.0,80.4333333333,13.3666666667,6.2,556.333333333,740.0,75.2333333333,13.4,11.3666666667,346.24,360.166666667,983.0
52,1.0,61150.0,132225.0,Economic_disadv,124.333333333,162.333333333,76.7333333333,15.2666666667,8.0,113.666666667,162.333333333,69.9333333333,15.4666666667,14.6,360.366666667,96.8,215.5
53,1.0,61150.0,132225.0,NOT_economic_disadv,462.0,568.0,81.5,12.8333333333,5.66666666667,437.666666667,568.0,77.0666666667,12.7,10.2333333333,349.725,333.6,767.5
54,1.0,61150.0,135533.0,All,,3.66666666667,,,,,3.66666666667,,,,307.033333333,9.5,51.0
