,County_Name,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_HFZ_All,fitness_pct_HFZ_Economic_disadv,fitness_pct_HFZ_NOT_economic_disadv,fitness_pct_unhealthy_comb_ALL,fitness_pct_unhealthy_comb_Economic_disadv,fitness_pct_unhealthy_comb_NOT_economic_disadv
34,San Benito,329.267079646,314.413354616,359.613425417,0.586326466789,0.539031500573,0.650018435754,0.402047997825,0.437772623138,0.349981564246
35,San Bernardino,336.1344059,322.44295688,359.718751749,0.588632132306,0.548133721633,0.67272041807,0.409305295329,0.446654609364,0.298511761156
36,San Diego,354.480672087,331.338519389,375.298248159,0.704049186636,0.630649030704,0.771915483507,0.29143961531,0.360727788654,0.21140743316
37,San Francisco,353.139582281,341.772901516,371.448895312,0.644499670008,0.610220190641,0.717420730151,0.352342435255,0.374181889082,0.259091907072
38,San Joaquin,334.345707636,321.684982529,357.448066584,0.579457690894,0.530044082191,0.640105700486,0.419061339564,0.461938913966,0.342921096436
39,San Luis Obispo,357.205704813,326.168618628,376.027072179,0.711536642092,0.616064491064,0.773571213784,0.281091056697,0.36895049395,0.211982851802
40,San Mateo,357.557382447,326.481737157,379.664724046,0.700255455857,0.569493719157,0.77117042183,0.296902068219,0.421421489457,0.223029936997
41,Santa Barbara,336.672626025,314.866248094,365.418086892,0.662974632211,0.617045152665,0.729160511919,0.331337365261,0.36777458168,0.262206854595
42,Santa Clara,366.771546088,325.605591888,391.975214397,0.727065193778,0.611919618447,0.802096188971,0.270299899865,0.372425700792,0.193076639048
43,Santa Cruz,351.221099324,323.436207059,371.955222643,0.648683060614,0.553867375887,0.745856471128,0.348917825213,0.397703039514,0.233672171569
44,Shasta,356.564843185,335.563684317,374.273974895,0.694925326495,0.633851728089,0.753482345438,0.285905344431,0.331586499905,0.235607379363
45,Sierra,298.880359613,319.676923077,351.533333333,0.50566255144,0.0,0.6245,0.3338436214,0.0,0.3755
46,Siskiyou,348.375022999,312.198845721,331.463939081,0.664682073955,0.60552715655,0.693874409821,0.312006028939,0.328977635783,0.257966949953
47,Solano,292.256827431,270.920547316,354.185947235,0.576274721664,0.497240958999,0.649651068109,0.416769985618,0.488631276873,0.33890753685
48,Sonoma,342.79805096,302.864001214,361.788724825,0.659767239049,0.566308087928,0.73257548509,0.331664656864,0.415678127611,0.250308539218
49,Stanislaus,336.440944188,322.949410297,355.869064297,0.576005785154,0.538004353366,0.632636147728,0.422235586576,0.45629733843,0.356663661052
50,Sutter,332.031870464,316.825989749,342.532607527,0.637596825739,0.588391192575,0.688493095768,0.354323889547,0.378455762553,0.278990200445
51,Tehama,328.914534414,324.642926209,331.766820277,0.596836344315,0.5738823832,0.386363636364,0.392005313497,0.414135045994,0.0681818181818
52,Trinity,318.57456446,304.268549906,295.173333334,0.62323538961,0.585090501792,0.647871345029,0.37676461039,0.414909498208,0.264409356725
53,Tulare,328.757080196,329.18777001,349.331771119,0.581289914406,0.55372561307,0.637423817597,0.412715460086,0.438185375835,0.335711289341
54,Tuolumne,334.152856288,295.228769841,339.359770115,0.668202251407,0.595820802005,0.708541159628,0.306281801126,0.331497493734,0.238488188976
55,Ventura,353.306193509,325.256297444,374.353503374,0.671874871014,0.578377293934,0.707955533154,0.325029458012,0.414881106219,0.216182670514
56,Yolo,343.129339858,323.845231051,371.200761257,0.564635743951,0.518659747062,0.605087451235,0.41564594619,0.43458501533,0.392311768531
57,Yuba,321.027753439,305.960739857,335.851382637,0.550873895582,0.51282318408,0.531958740499,0.429045783133,0.445982786069,0.380093376764
