,County_Name,School_Name,Subgroup,Number_Students_Total,Number_Students_Healthy,Number_Students_Unhealthy,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
175,Alameda,San Lorenzo High,Economic_disadv,1646.0,924.0,722.0,320.675,191.25,383.666666667
176,Alameda,San Lorenzo High,NOT_economic_disadv,280.0,160.0,120.0,325.533333333,48.75,127.333333333
177,Alameda,Silver Oak High Public Montessori Charter,All,102.0,20.0,82.0,339.9,19.5,
178,Alameda,Silver Oak High Public Montessori Charter,Economic_disadv,0.0,0.0,0.0,310.9,18.0,
179,Alameda,Silver Oak High Public Montessori Charter,NOT_economic_disadv,0.0,0.0,0.0,366.1,20.0,
180,Alameda,Skyline High,All,2652.0,1101.0,1551.0,316.383333333,187.5,547.5
181,Alameda,Skyline High,Economic_disadv,692.0,254.0,438.0,311.583333333,152.833333333,447.5
182,Alameda,Skyline High,NOT_economic_disadv,114.0,61.0,53.0,346.633333333,40.2,100.0
183,Alameda,Street Academy (Alternative),All,114.0,61.0,53.0,298.45,16.0,66.0
184,Alameda,Street Academy (Alternative),Economic_disadv,100.0,52.0,48.0,293.2,17.0,53.0
185,Alameda,Street Academy (Alternative),NOT_economic_disadv,10.0,0.0,0.0,,2.5,13.0
186,Alameda,Tennyson High,All,1472.0,628.0,844.0,303.68,140.833333333,451.5
187,Alameda,Tennyson High,Economic_disadv,1218.0,497.0,721.0,306.375,135.0,348.5
188,Alameda,Tennyson High,NOT_economic_disadv,204.0,109.0,95.0,325.866666667,32.4,103.0
189,Alameda,Village High,All,6.0,,,326.533333333,16.25,36.3333333333
190,Alameda,Village High,Economic_disadv,0.0,0.0,0.0,,6.0,12.5
191,Alameda,Village High,NOT_economic_disadv,2.0,0.0,0.0,335.55,12.6666666667,26.6666666667
192,Alameda,Vineyard Alternative,All,28.0,0.0,0.0,351.766666667,21.6666666667,44.5
193,Alameda,Vineyard Alternative,Economic_disadv,6.0,0.0,0.0,,4.0,6.5
194,Alameda,Vineyard Alternative,NOT_economic_disadv,10.0,0.0,0.0,361.733333333,18.0,38.0
195,Alameda,Vista Alternative,All,6.0,,,354.0,7.0,20.5
196,Alameda,Vista Alternative,Economic_disadv,0.0,0.0,0.0,,1.0,7.0
197,Alameda,Vista Alternative,NOT_economic_disadv,6.0,,,354.0,7.5,16.5
198,Alameda,Washington High,All,2708.0,1840.0,868.0,349.22,219.5,604.5
199,Alameda,Washington High,Economic_disadv,594.0,354.0,240.0,343.766666667,75.8,160.5
200,Alameda,Washington High,NOT_economic_disadv,652.0,452.0,200.0,387.8,185.2,444.0
201,Alameda,William Mendenhall Middle,All,0.0,0.0,0.0,412.4,188.0,
202,Alameda,William Mendenhall Middle,Economic_disadv,0.0,0.0,0.0,374.9,30.0,
203,Alameda,William Mendenhall Middle,NOT_economic_disadv,0.0,0.0,0.0,419.4,158.0,
204,Alpine,Alpine County Opportunity,All,4.0,,,,1.0,4.0
205,Alpine,Alpine County Opportunity,NOT_economic_disadv,0.0,0.0,0.0,,1.0,2.0
206,Amador,Amador County Special Education,All,38.0,13.0,11.0,,3.75,83.0
207,Amador,Amador County Special Education,Economic_disadv,20.0,,,,1.0,59.0
208,Amador,Amador County Special Education,NOT_economic_disadv,14.0,,,,1.0,24.0
209,Amador,Amador High,All,996.0,722.0,274.0,366.266666667,92.4,193.0
210,Amador,Amador High,Economic_disadv,326.0,222.0,104.0,353.066666667,49.6666666667,58.0
211,Amador,Amador High,NOT_economic_disadv,644.0,479.0,165.0,373.133333333,77.75,141.333333333
212,Amador,Argonaut High,All,746.0,489.0,257.0,368.566666667,132.333333333,181.0
213,Amador,Argonaut High,Economic_disadv,230.0,132.0,98.0,350.2,45.0,56.5
214,Amador,Argonaut High,NOT_economic_disadv,396.0,275.0,121.0,378.3,87.3333333333,124.5
215,Amador,County Community,All,18.0,,,,2.66666666667,55.0
216,Amador,County Community,Economic_disadv,8.0,,,,1.5,32.5
217,Amador,County Community,NOT_economic_disadv,0.0,0.0,0.0,,1.0,2.0
218,Amador,North Star Independent Study,All,28.0,,,317.0,5.0,16.0
219,Amador,North Star Independent Study,Economic_disadv,14.0,,,,4.0,8.0
220,Amador,North Star Independent Study,NOT_economic_disadv,14.0,,,,3.5,8.0
221,Butte,Academy for Change,All,10.0,0.0,0.0,,5.0,19.0
222,Butte,Academy for Change,Economic_disadv,6.0,0.0,0.0,,6.0,12.0
223,Butte,Academy for Change,NOT_economic_disadv,2.0,0.0,0.0,,2.0,7.0
224,Butte,Biggs High,All,158.0,116.0,42.0,341.8,26.5,42.3333333333
225,Butte,Biggs High,Economic_disadv,110.0,78.0,32.0,332.833333333,18.25,26.0
226,Butte,Biggs High,NOT_economic_disadv,48.0,34.0,8.0,364.55,11.0,17.0
227,Butte,Butte County Special Education,All,12.0,0.0,0.0,,1.0,
228,Butte,CORE Butte Charter,All,286.0,155.0,131.0,367.3,31.0,139.0
229,Butte,CORE Butte Charter,Economic_disadv,68.0,34.0,34.0,357.8,15.0,71.0
230,Butte,CORE Butte Charter,NOT_economic_disadv,126.0,75.0,51.0,375.9,32.0,68.0
231,Butte,Chico High,All,2520.0,1874.0,646.0,365.9,252.0,617.0
232,Butte,Chico High,Economic_disadv,1042.0,696.0,346.0,340.566666667,99.6,236.0
233,Butte,Chico High,NOT_economic_disadv,840.0,693.0,147.0,382.5,190.5,331.666666667
234,Butte,Durham High,All,432.0,282.0,150.0,370.233333333,34.5,105.0
235,Butte,Durham High,Economic_disadv,156.0,82.0,74.0,353.433333333,13.8,40.5
236,Butte,Durham High,NOT_economic_disadv,276.0,200.0,76.0,377.966666667,34.0,74.3333333333
237,Butte,Fair View High (Continuation),All,84.0,30.0,54.0,314.833333333,26.1666666667,91.5
238,Butte,Fair View High (Continuation),Economic_disadv,62.0,13.0,31.0,306.633333333,24.0,68.5
239,Butte,Fair View High (Continuation),NOT_economic_disadv,4.0,0.0,0.0,344.75,12.5,23.0
240,Butte,Gridley High,All,944.0,617.0,327.0,354.933333333,76.3333333333,242.0
241,Butte,Gridley High,Economic_disadv,422.0,276.0,146.0,343.2,61.8,176.0
242,Butte,Gridley High,NOT_economic_disadv,148.0,120.0,28.0,379.8,36.0,61.6666666667
243,Butte,Hometech Charter,All,76.0,21.0,41.0,338.9,9.2,76.0
244,Butte,Hometech Charter,Economic_disadv,54.0,9.0,15.0,344.7,6.66666666667,56.3333333333
245,Butte,Hometech Charter,NOT_economic_disadv,20.0,,,,3.33333333333,19.6666666667
246,Butte,Honey Run Academy Secondary,All,30.0,,,,2.66666666667,8.5
247,Butte,Honey Run Academy Secondary,Economic_disadv,14.0,,,,2.5,7.5
248,Butte,Honey Run Academy Secondary,NOT_economic_disadv,6.0,,,,0.5,1.0
249,Butte,Ipakanni Early College Charter,All,28.0,,,,7.33333333333,13.5
250,Butte,Ipakanni Early College Charter,Economic_disadv,12.0,0.0,0.0,,3.0,5.0
251,Butte,Ipakanni Early College Charter,NOT_economic_disadv,0.0,0.0,0.0,,3.5,8.5
252,Butte,Las Plumas High,All,1746.0,938.0,808.0,338.4,109.142857143,352.0
253,Butte,Las Plumas High,Economic_disadv,774.0,383.0,391.0,342.3,82.8333333333,235.6
254,Butte,Las Plumas High,NOT_economic_disadv,372.0,231.0,141.0,364.0,52.8,125.5
255,Butte,Learning Community Charter,All,138.0,38.0,100.0,348.0,18.1666666667,132.0
256,Butte,Learning Community Charter,Economic_disadv,98.0,24.0,74.0,342.566666667,17.2,108.5
257,Butte,Learning Community Charter,NOT_economic_disadv,40.0,,,,7.0,23.5
258,Butte,Oakdale,All,24.0,,,310.35,11.6666666667,40.0
259,Butte,Oakdale,Economic_disadv,10.0,,,311.1,7.66666666667,22.5
260,Butte,Oakdale,NOT_economic_disadv,8.0,,,,4.5,17.5
261,Butte,Oroville High,All,1434.0,892.0,542.0,338.083333333,118.5,377.5
262,Butte,Oroville High,Economic_disadv,710.0,401.0,309.0,335.46,103.8,286.5
263,Butte,Oroville High,NOT_economic_disadv,250.0,162.0,88.0,361.2,45.25,102.666666667
264,Butte,Oroville High Community Day,All,12.0,,,,3.75,6.0
265,Butte,Oroville High Community Day,Economic_disadv,12.0,,,,3.0,6.0
266,Butte,Oroville High Community Day,NOT_economic_disadv,0.0,0.0,0.0,,0.0,0.0
267,Butte,Paradise Senior High,All,1712.0,1236.0,476.0,358.375,128.666666667,402.0
268,Butte,Paradise Senior High,Economic_disadv,932.0,626.0,306.0,358.7,84.0,228.0
269,Butte,Paradise Senior High,NOT_economic_disadv,780.0,610.0,170.0,384.7,68.0,174.0
270,Butte,Paradise eLearning Academy,All,20.0,,,363.0,16.0,16.0
271,Butte,Paradise eLearning Academy,Economic_disadv,10.0,,,366.2,15.0,15.0
272,Butte,Paradise eLearning Academy,NOT_economic_disadv,8.0,,,,1.0,1.0
273,Butte,Pivot Charter School North Valley,All,16.0,,,329.1,13.0,22.0
274,Butte,Pivot Charter School North Valley,Economic_disadv,8.0,,,323.8,8.5,16.0
275,Butte,Pivot Charter School North Valley,NOT_economic_disadv,8.0,0.0,0.0,,1.0,6.0
276,Butte,Pleasant Valley High,All,2722.0,1992.0,730.0,355.1,213.833333333,621.5
277,Butte,Pleasant Valley High,Economic_disadv,1118.0,735.0,383.0,347.933333333,80.6666666667,234.0
278,Butte,Pleasant Valley High,NOT_economic_disadv,960.0,771.0,189.0,381.033333333,159.2,387.5
279,Butte,Ridgeview High (Continuation),All,4.0,,,326.633333333,12.8333333333,50.0
280,Butte,Ridgeview High (Continuation),Economic_disadv,2.0,,,328.166666667,17.25,37.3333333333
281,Butte,Ridgeview High (Continuation),NOT_economic_disadv,2.0,,,,2.0,7.0
282,Butte,Table Mountain,All,28.0,,,,3.25,16.3333333333
283,Butte,Table Mountain,Economic_disadv,28.0,,,,2.33333333333,15.0
284,Butte,Table Mountain,NOT_economic_disadv,0.0,0.0,0.0,,2.0,2.0
285,Calaveras,Bret Harte Union High,All,1042.0,743.0,299.0,376.566666667,82.5,252.0
286,Calaveras,Bret Harte Union High,Economic_disadv,354.0,246.0,108.0,364.7,57.25,99.0
287,Calaveras,Bret Harte Union High,NOT_economic_disadv,336.0,240.0,96.0,386.7,65.25,159.666666667
288,Calaveras,Calaveras High,All,1410.0,922.0,488.0,365.833333333,138.4,316.0
289,Calaveras,Calaveras High,Economic_disadv,736.0,458.0,278.0,357.766666667,83.25,124.666666667
290,Calaveras,Calaveras High,NOT_economic_disadv,410.0,282.0,128.0,372.166666667,89.5,191.333333333
291,Calaveras,Calaveras River Academy,All,36.0,6.0,16.0,,5.66666666667,14.0
292,Calaveras,Calaveras River Academy,Economic_disadv,14.0,,,,4.0,10.5
293,Calaveras,Calaveras River Academy,NOT_economic_disadv,0.0,0.0,0.0,,1.5,3.5
