,County_Code,School_Code,Mean_Academic_Test_Score_All,Mean_Academic_Test_Score_Economic_disadv,Mean_Academic_Test_Score_NOT_economic_disadv,Combined_Fitness_Unhealthy_Pct_All,Combined_Fitness_Unhealthy_Pct_Economic_disadv,Combined_Fitness_Unhealthy_Pct_NOT_economic_disadv,County,School
90,3.0,330068.0,,,,-0.0263157894737,,,Amador,Amador County Special Education
91,3.0,330753.0,366.266666667,353.066666667,373.133333333,0.275100401606,0.319018404908,0.256211180124,Amador,Amador High
92,3.0,334755.0,368.566666667,350.2,378.3,0.344504021448,0.426086956522,0.305555555556,Amador,Argonaut High
93,4.0,1.0,,,,,1.0,1.0,Butte,Oroville City Elementary NPS Students
94,4.0,1.0,,,,,1.0,1.0,Butte,Oroville Union High NPS Students
95,4.0,1.0,,,,,1.0,1.0,Butte,Palermo Union Elementary NPS Students
96,4.0,1.0,,,,,1.0,1.0,Butte,Pioneer Union Elementary NPS Students
97,4.0,111039.0,,,,1.0,1.0,1.0,Butte,Academy for Change
98,4.0,114991.0,372.0,361.4,380.6,0.458041958042,0.5,0.404761904762,Butte,CORE Butte Charter
99,4.0,120394.0,399.333333333,399.633333333,398.466666667,0.511869436202,0.572072072072,0.497663551402,Butte,Inspire School of Arts and Sciences
100,4.0,121509.0,,,,,1.0,,Butte,Ipakanni Early College Charter
101,4.0,121715.0,367.2,365.75,378.7,,1.0,,Butte,Paradise eLearning Academy
102,4.0,123976.0,,,,1.0,1.0,,Butte,Center for Alternative Learning
103,4.0,125252.0,329.1,323.8,,,,1.0,Butte,Pivot Charter School North Valley
104,4.0,129817.0,,,,,,,Butte,BCOE - County Community
105,4.0,129817.0,,,,,,,Butte,Butte County Community School - LEAD
106,4.0,430066.0,,,,,,,Butte,Table Mountain
107,4.0,430090.0,348.0,342.566666667,,0.724637681159,0.755102040816,,Butte,Learning Community Charter
108,4.0,430108.0,,,,,,,Butte,Honey Run Academy Secondary
109,4.0,430140.0,,,,,,,Butte,Oroville High Community Day
110,4.0,430199.0,310.35,311.1,,,,,Butte,Oakdale
111,4.0,430827.0,341.8,332.833333333,364.55,0.26582278481,0.290909090909,-0.416666666667,Butte,Biggs High
112,4.0,431502.0,314.833333333,306.633333333,344.75,0.642857142857,0.685483870968,1.0,Butte,Fair View High (Continuation)
113,4.0,431676.0,365.9,340.566666667,382.5,0.256349206349,0.332053742802,0.195814648729,Butte,Chico High
114,4.0,432856.0,326.633333333,328.166666667,,,,,Butte,Ridgeview High (Continuation)
115,4.0,433201.0,370.233333333,353.433333333,377.966666667,0.347222222222,0.474358974359,0.275362318841,Butte,Durham High
116,4.0,433953.0,354.933333333,343.2,379.8,0.346398305085,0.366352201258,0.294642857143,Butte,Gridley High
117,4.0,434803.0,338.4,342.3,364.0,0.462772050401,0.508605851979,0.369565217391,Butte,Las Plumas High
118,4.0,435602.0,338.083333333,335.46,361.2,0.377963737796,0.402298850575,0.31746031746,Butte,Oroville High
119,4.0,437350.0,358.375,358.7,384.7,0.278037383178,0.328326180258,0.217948717949,Butte,Paradise Senior High
120,4.0,437558.0,355.1,347.933333333,381.033333333,0.268185157972,0.342576028623,0.215155615697,Butte,Pleasant Valley High
121,4.0,6069256.0,,,,1.0,,,Butte,Butte County Special Education
122,4.0,6112585.0,338.9,344.7,,0.585526315789,0.5,,Butte,Hometech Charter
123,5.0,530022.0,304.85,289.5,,0.357142857143,0.416666666667,,Calaveras,Gold Strike High
124,5.0,530048.0,,,,0.5,,1.0,Calaveras,Calaveras River Academy
125,5.0,530055.0,320.7,313.8,,,,1.0,Calaveras,Calaveras Unified Alternative-Sierra Hills Education Center
126,5.0,530154.0,354.133333333,348.9,359.933333333,0.578703703704,0.603174603175,0.366666666667,Calaveras,Mountain Oaks
127,5.0,531509.0,365.833333333,357.766666667,372.166666667,0.34609929078,0.377717391304,0.288732394366,Calaveras,Calaveras High
128,5.0,532507.0,376.566666667,364.7,386.7,0.286948176583,0.301923076923,0.27027027027,Calaveras,Bret Harte Union High
129,5.0,6077150.0,,,,1.0,1.0,1.0,Calaveras,Calaveras County Special Education (SELPA)
130,5.0,9010745.0,,,,,,,Calaveras,Oakendell Community
131,6.0,631259.0,353.733333333,337.766666667,375.633333333,0.380067567568,0.472375690608,0.228070175439,Colusa,Colusa High
132,6.0,634758.0,354.333333333,345.033333333,365.8,0.391304347826,0.404761904762,,Colusa,Maxwell Jr/Sr High
133,6.0,635250.0,331.666666667,319.8,359.933333333,0.306990881459,0.323275862069,0.270833333333,Colusa,Pierce High
134,6.0,637504.0,331.1,330.8,331.0,0.421428571429,0.410480349345,0.5,Colusa,Williams Junior/Senior High
135,7.0,101477.0,344.0,342.7,365.2,0.587765957447,0.591412742382,,Contra Costa,Leadership Public Schools: Richmond
136,7.0,107326.0,,,,,,,Contra Costa,Far East County Programs
137,7.0,107334.0,,,,1.0,,,Contra Costa,Central County Special Education Programs
138,7.0,107524.0,,,,,,,Contra Costa,Acalanes Center for Independent Study
139,7.0,107797.0,380.425,367.8,382.725,0.250921537651,0.25,0.253062540297,Contra Costa,Heritage High 
140,7.0,107797.0,380.425,367.8,382.725,0.250921537651,0.25,0.253062540297,Contra Costa,Heritage High
141,7.0,113118.0,433.533333333,381.733333333,437.266666667,0.152253909844,0.285714285714,0.141599597586,Contra Costa,Dougherty Valley High
142,7.0,114470.0,359.066666667,356.1,393.5,0.365758754864,0.371559633028,0.314285714286,Contra Costa,Making Waves Academy
143,7.0,117218.0,366.633333333,350.8,385.066666667,0.271897810219,0.299035369775,0.227748691099,Contra Costa,Dozier-Libbey Medical High
144,7.0,125815.0,326.8,316.3,,0.438596491228,0.474358974359,0.222222222222,Contra Costa,Synergy
145,7.0,130930.0,322.5,311.7,336.65,0.468421052632,0.513513513514,0.445454545455,Contra Costa,Vista Oaks Charter
146,7.0,132100.0,357.8,351.0,380.9,0.75,0.770833333333,,Contra Costa,Aspire Richmond Ca. College Preparatory Academy
147,7.0,132233.0,378.6,374.6,,0.355555555556,0.341176470588,,Contra Costa,John Henry High
148,7.0,730044.0,398.333333333,372.933333333,401.0,0.228571428571,0.369565217391,0.205617977528,Contra Costa,Northgate High
149,7.0,730051.0,372.12,381.066666667,387.9,0.195308641975,0.264150943396,0.192328183271,Contra Costa,California High
150,7.0,730218.0,378.533333333,,378.533333333,0.360655737705,,0.140625,Contra Costa,Venture (Alternative)
151,7.0,730259.0,321.4,310.9,334.45,0.142857142857,,,Contra Costa,Prospects High (Alternative)
152,7.0,730275.0,,,,,,1.0,Contra Costa,North Campus Continuation
153,7.0,730283.0,407.133333333,393.833333333,407.633333333,0.171219512195,0.205882352941,0.169560776302,Contra Costa,Acalanes High
154,7.0,730291.0,383.166666667,382.466666667,385.466666667,0.47963800905,0.459183673469,0.530769230769,Contra Costa,Middle College High
155,7.0,730325.0,309.233333333,298.433333333,,0.525,,,Contra Costa,Vista High (Alternative)
156,7.0,730440.0,319.833333333,,335.45,,,,Contra Costa,Vicente Martinez High
157,7.0,730457.0,351.616666667,351.9,360.966666667,0.253114100648,0.297397769517,0.221890971039,Contra Costa,Freedom High
158,7.0,730465.0,317.133333333,309.783333333,338.725,0.404293381038,0.455602536998,0.326424870466,Contra Costa,Deer Valley High
159,7.0,730473.0,,,,,1.0,1.0,Contra Costa,Briones (Alternative)
160,7.0,730549.0,367.733333333,347.233333333,374.1,0.389375684556,0.465753424658,0.359583952452,Contra Costa,Alhambra Senior High
161,7.0,730598.0,344.675,341.233333333,370.7,0.352272727273,0.354489164087,0.350558659218,Contra Costa,Hercules High
162,7.0,730614.0,288.65,288.6,295.2,0.539473684211,,,Contra Costa,Golden Gate Community
163,7.0,730861.0,332.075,327.15,357.466666667,0.431570762053,0.444082519001,0.387453874539,Contra Costa,Antioch High
164,7.0,731125.0,416.033333333,399.9,416.9,0.129896907216,-0.295454545455,0.126213592233,Contra Costa,Campolindo High
165,7.0,731380.0,389.066666667,366.4,394.3,0.225682295311,0.303191489362,0.204545454545,Contra Costa,Clayton Valley Charter High
166,7.0,731646.0,352.34,349.933333333,386.7,0.32796101949,0.3984375,0.300221975583,Contra Costa,College Park High
167,7.0,731836.0,339.0,331.1,370.833333333,0.443347639485,0.493377483444,0.370614035088,Contra Costa,Concord High
168,7.0,732164.0,323.42,316.12,355.5,0.349473684211,0.365277777778,0.289603960396,Contra Costa,De Anza Senior High
169,7.0,732941.0,314.48,323.4,371.7,0.367693942614,0.429942418426,0.286096256684,Contra Costa,El Cerrito Senior High
170,7.0,733253.0,261.733333333,258.833333333,,,,1.0,Contra Costa,Gompers (Samuel) Continuation
171,7.0,733253.0,261.733333333,258.833333333,,,,1.0,Contra Costa,Greenwood Academy
172,7.0,733659.0,306.225,306.05,305.833333333,0.646525679758,0.64502529511,0.64,Contra Costa,Kennedy High
173,7.0,733725.0,402.8,364.966666667,407.466666667,0.240692640693,0.344,0.226640159046,Contra Costa,Las Lomas High
174,7.0,733980.0,338.133333333,326.05,355.56,0.354416575791,0.4375,0.306228373702,Contra Costa,Liberty High
175,7.0,734244.0,422.866666667,,422.933333333,0.104847207587,,0.102383531961,Contra Costa,Miramonte High
176,7.0,734368.0,418.1,365.3,419.233333333,0.159593023256,0.25,0.155752753978,Contra Costa,Monte Vista High
177,7.0,734566.0,320.514285714,320.65,336.466666667,0.49948927477,0.510113780025,0.443708609272,Contra Costa,Mt. Diablo High
178,7.0,735316.0,321.875,317.15,350.7,0.488425925926,0.513181019332,0.454887218045,Contra Costa,Pinole Valley High
179,7.0,735407.0,310.8,308.6,340.933333333,0.484309623431,0.496327387198,0.433901918977,Contra Costa,Pittsburg Senior High
180,7.0,735902.0,296.15,295.816666667,319.4,0.560314685315,0.559534883721,0.472222222222,Contra Costa,Richmond High
181,7.0,736504.0,405.966666667,397.233333333,406.233333333,0.152553329024,0.25,0.147118644068,Contra Costa,San Ramon Valley High
182,7.0,737023.0,344.075,349.8,365.033333333,0.316901408451,0.3175,0.309210526316,Contra Costa,John Swett High
183,7.0,737619.0,318.2,312.8,,,,,Contra Costa,Willow High
184,7.0,737809.0,325.333333333,317.833333333,356.866666667,0.575835475578,0.582930756844,0.544247787611,Contra Costa,Ygnacio Valley High
185,7.0,761796.0,,,,,,,Contra Costa,Home/hospital and independent study
186,7.0,6077168.0,304.45,295.4,,0.375,0.466666666667,,Contra Costa,Floyd I. Marchus
187,8.0,106666.0,,,,,1.0,,Del Norte,Bar-O
188,8.0,830042.0,289.9,286.5,,,,1.0,Del Norte,McCarthy Center/Court/Community
189,8.0,830042.0,289.9,286.5,,,,1.0,Del Norte,Del Norte Community
190,8.0,830059.0,325.2,318.333333333,336.533333333,0.204081632653,,0.0357142857143,Del Norte,Castle Rock
191,8.0,830067.0,,,,,,,Del Norte,Del Norte County Community Day (Secondary)
192,8.0,833004.0,338.98,349.833333333,363.3,0.316526610644,0.33971291866,0.280797101449,Del Norte,Del Norte High
193,8.0,836205.0,297.733333333,310.1,,,,,Del Norte,Sunset High
194,9.0,106047.0,,,,,,,El Dorado,Blue Ridge
195,9.0,119537.0,358.5,,,0.5,0.545454545455,,El Dorado,Pacific Technology School Santa Ana
196,9.0,121566.0,349.4,,,,,,El Dorado,American River Charter
197,9.0,930016.0,,,,,1.0,,El Dorado,Golden Ridge
198,9.0,930040.0,308.9,306.1,,,,,El Dorado,Mt. Tallac High
199,9.0,930073.0,361.633333333,345.866666667,373.4,0.306,0.391891891892,0.239130434783,El Dorado,Golden Sierra Junior Senior High
200,9.0,930081.0,402.1,368.1,404.3,0.139258028793,0.241379310345,0.124446412755,El Dorado,Oak Ridge High
201,9.0,930123.0,358.233333333,313.666666667,380.966666667,0.352320675105,0.477528089888,0.271126760563,El Dorado,Charter Community School Home Study Academy
202,9.0,930131.0,287.7,289.933333333,,0.274193548387,,,El Dorado,Rite of Passage
203,9.0,930164.0,356.6,355.066666667,380.9,0.287061994609,0.334459459459,0.237313432836,El Dorado,Union Mine High
204,9.0,930214.0,380.933333333,,384.3,0.203125,1.0,1.0,El Dorado,EDUHSD Virtual Academy at Shenandoah
205,9.0,932756.0,337.56,353.333333333,383.333333333,0.259500542888,0.229885057471,0.217333333333,El Dorado,El Dorado High
206,9.0,936302.0,400.166666667,367.533333333,406.6,0.187310030395,0.258278145695,0.176945668135,El Dorado,Ponderosa High
207,9.0,937805.0,340.6,321.566666667,364.466666667,0.344543147208,0.420689655172,0.22947761194,El Dorado,South Tahoe High
208,10.0,108092.0,321.2,323.5,355.4,0.328395061728,0.332041343669,-0.25,Fresno,Orange Cove High
209,10.0,108555.0,415.666666667,413.0,421.9,0.46174863388,0.46174863388,,Fresno,Design Science Early College High
210,10.0,108977.0,,,,,,,Fresno,Fowler Academy Community Day (9-12)
211,10.0,109991.0,298.466666667,297.933333333,,0.388888888889,0.4,1.0,Fresno,Crescent View West Charter
212,10.0,110270.0,,,,0.418604651163,0.553571428571,1.0,Fresno,Clovis Community Day Secondary
213,10.0,111682.0,,,,,1.0,,Fresno,Hume Lake Charter
214,10.0,113555.0,383.533333333,362.6,388.8,0.277676399027,0.368421052632,0.247751798561,Fresno,Clovis North High
215,10.0,114355.0,341.266666667,335.4,357.9,0.458100558659,0.466386554622,0.431034482759,Fresno,Sierra Charter
216,10.0,114553.0,375.0,,376.033333333,0.171428571429,0.0670731707317,0.169590643275,Fresno,University High
217,10.0,114751.0,,,,,,,Fresno,Pathway Community Day
218,10.0,115196.0,301.8,293.6,308.6,0.714285714286,,,Fresno,Fresno Academy for Civic and Entrepreneurial Leadership
219,10.0,118018.0,352.766666667,337.9,358.4,0.507936507937,0.491228070175,0.44921875,Fresno,Clovis Online Charter
